*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************************
*****             Interconnect Capacitance Table           ************
***********************************************************************

Process: 	0.11um Mixed Signal 1P8M Salicide, Dual Voltage (1.2V/3.3V)
Version: 	1.24
Date: 		2015-1-16
Corner:  	Typical
Structure: 	Structure-2 (Parallel lines between two plates)
(Please refer to SMIC SPICE document for the definition of each capacitance)


**************************
* Layers:	M2-M1-AA *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.144	5.000	1.12E-01	7.54E-02	3.65E-02	1.04E-02	4.49E-03	1.24E-04	3.25E-02	1.60E-02
0.144	7.000	1.12E-01	7.55E-02	3.65E-02	1.04E-02	4.49E-03	5.22E-05	3.25E-02	1.60E-02
0.144	10.000	1.12E-01	7.56E-02	3.66E-02	1.04E-02	4.49E-03	2.21E-05	3.26E-02	1.60E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M3-M2-AA *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.180	0.160	2.84E-01	1.12E-02	3.29E-02	5.61E-03	1.74E-02	1.16E-01	2.79E-03	7.77E-03
0.180	0.180	2.63E-01	1.17E-02	3.46E-02	5.61E-03	1.74E-02	1.05E-01	3.06E-03	8.59E-03
0.180	0.200	2.45E-01	1.23E-02	3.62E-02	5.61E-03	1.74E-02	9.50E-02	3.35E-03	9.40E-03
0.180	0.250	2.14E-01	1.37E-02	4.01E-02	5.61E-03	1.74E-02	7.72E-02	4.03E-03	1.14E-02
0.180	0.300	1.94E-01	1.50E-02	4.38E-02	5.61E-03	1.74E-02	6.48E-02	4.69E-03	1.32E-02
0.180	0.400	1.69E-01	1.76E-02	5.07E-02	5.61E-03	1.74E-02	4.83E-02	5.99E-03	1.67E-02
0.180	0.500	1.55E-01	2.00E-02	5.69E-02	5.61E-03	1.74E-02	3.76E-02	7.19E-03	1.98E-02
0.180	0.600	1.47E-01	2.22E-02	6.23E-02	5.61E-03	1.74E-02	3.00E-02	8.30E-03	2.25E-02
0.180	0.800	1.39E-01	2.59E-02	7.11E-02	5.61E-03	1.74E-02	2.01E-02	1.02E-02	2.69E-02
0.180	1.000	1.35E-01	2.88E-02	7.76E-02	5.61E-03	1.74E-02	1.38E-02	1.16E-02	3.01E-02
0.180	1.200	1.33E-01	3.10E-02	8.24E-02	5.61E-03	1.74E-02	9.71E-03	1.27E-02	3.25E-02
0.180	1.400	1.33E-01	3.26E-02	8.58E-02	5.61E-03	1.74E-02	6.88E-03	1.35E-02	3.42E-02
0.180	1.600	1.32E-01	3.38E-02	8.83E-02	5.61E-03	1.74E-02	4.92E-03	1.41E-02	3.55E-02
0.180	1.800	1.32E-01	3.46E-02	9.01E-02	5.61E-03	1.74E-02	3.54E-03	1.45E-02	3.64E-02
0.180	2.000	1.32E-01	3.52E-02	9.13E-02	5.61E-03	1.74E-02	2.58E-03	1.48E-02	3.70E-02
0.180	2.500	1.32E-01	3.61E-02	9.32E-02	5.61E-03	1.74E-02	1.20E-03	1.52E-02	3.79E-02
0.180	3.000	1.32E-01	3.65E-02	9.40E-02	5.61E-03	1.74E-02	6.30E-04	1.54E-02	3.83E-02
0.180	4.000	1.32E-01	3.67E-02	9.45E-02	5.61E-03	1.74E-02	2.53E-04	1.56E-02	3.86E-02
0.180	5.000	1.32E-01	3.68E-02	9.46E-02	5.61E-03	1.74E-02	1.37E-04	1.56E-02	3.86E-02
0.180	7.000	1.32E-01	3.69E-02	9.48E-02	5.61E-03	1.74E-02	6.24E-05	1.56E-02	3.87E-02
0.180	10.000	1.32E-01	3.69E-02	9.48E-02	5.61E-03	1.74E-02	2.80E-05	1.57E-02	3.87E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

************************************
* Layers:	M3-M1-POLY (on AA) *
************************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.144	0.133	2.88E-01	2.96E-02	9.21E-03	1.53E-02	4.49E-03	1.20E-01	7.16E-03	2.36E-03
0.144	0.153	2.62E-01	3.14E-02	9.78E-03	1.53E-02	4.49E-03	1.06E-01	8.06E-03	2.64E-03
0.144	0.173	2.42E-01	3.32E-02	1.03E-02	1.53E-02	4.49E-03	9.52E-02	8.94E-03	2.93E-03
0.144	0.200	2.21E-01	3.55E-02	1.11E-02	1.53E-02	4.49E-03	8.35E-02	1.01E-02	3.30E-03
0.144	0.250	1.94E-01	3.97E-02	1.25E-02	1.53E-02	4.49E-03	6.80E-02	1.22E-02	3.99E-03
0.144	0.300	1.77E-01	4.36E-02	1.38E-02	1.53E-02	4.49E-03	5.70E-02	1.41E-02	4.66E-03
0.144	0.400	1.56E-01	5.07E-02	1.64E-02	1.53E-02	4.49E-03	4.24E-02	1.77E-02	5.93E-03
0.144	0.500	1.45E-01	5.71E-02	1.87E-02	1.53E-02	4.49E-03	3.29E-02	2.09E-02	7.10E-03
0.144	0.600	1.38E-01	6.25E-02	2.08E-02	1.53E-02	4.49E-03	2.61E-02	2.36E-02	8.14E-03
0.144	0.800	1.31E-01	7.13E-02	2.42E-02	1.53E-02	4.49E-03	1.71E-02	2.80E-02	9.86E-03
0.144	1.000	1.28E-01	7.76E-02	2.67E-02	1.53E-02	4.49E-03	1.15E-02	3.12E-02	1.11E-02
0.144	1.200	1.27E-01	8.21E-02	2.86E-02	1.53E-02	4.49E-03	7.89E-03	3.34E-02	1.20E-02
0.144	1.400	1.26E-01	8.53E-02	2.99E-02	1.53E-02	4.49E-03	5.45E-03	3.50E-02	1.27E-02
0.144	1.600	1.26E-01	8.75E-02	3.08E-02	1.53E-02	4.49E-03	3.80E-03	3.61E-02	1.32E-02
0.144	1.800	1.26E-01	8.90E-02	3.15E-02	1.53E-02	4.49E-03	2.69E-03	3.69E-02	1.35E-02
0.144	2.000	1.26E-01	9.01E-02	3.19E-02	1.53E-02	4.49E-03	1.91E-03	3.74E-02	1.37E-02
0.144	2.500	1.26E-01	9.16E-02	3.25E-02	1.53E-02	4.49E-03	8.63E-04	3.81E-02	1.40E-02
0.144	3.000	1.26E-01	9.22E-02	3.28E-02	1.53E-02	4.49E-03	4.49E-04	3.84E-02	1.42E-02
0.144	4.000	1.26E-01	9.26E-02	3.30E-02	1.53E-02	4.49E-03	1.75E-04	3.86E-02	1.42E-02
0.144	5.000	1.26E-01	9.27E-02	3.30E-02	1.53E-02	4.49E-03	9.49E-05	3.87E-02	1.43E-02
0.144	7.000	1.26E-01	9.28E-02	3.31E-02	1.53E-02	4.49E-03	3.95E-05	3.87E-02	1.43E-02
0.144	10.000	1.26E-01	9.28E-02	3.31E-02	1.53E-02	4.49E-03	1.70E-05	3.88E-02	1.43E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

************************************
* Layers:	M3-M2-POLY (on AA) *
************************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.180	0.160	2.84E-01	1.27E-02	3.27E-02	6.49E-03	1.74E-02	1.16E-01	3.12E-03	7.67E-03
0.180	0.180	2.63E-01	1.34E-02	3.44E-02	6.49E-03	1.74E-02	1.04E-01	3.44E-03	8.50E-03
0.180	0.200	2.46E-01	1.40E-02	3.60E-02	6.49E-03	1.74E-02	9.47E-02	3.77E-03	9.30E-03
0.180	0.250	2.15E-01	1.56E-02	3.99E-02	6.49E-03	1.74E-02	7.69E-02	4.55E-03	1.13E-02
0.180	0.300	1.94E-01	1.71E-02	4.36E-02	6.49E-03	1.74E-02	6.44E-02	5.32E-03	1.31E-02
0.180	0.400	1.70E-01	2.01E-02	5.06E-02	6.49E-03	1.74E-02	4.77E-02	6.81E-03	1.66E-02
0.180	0.500	1.56E-01	2.28E-02	5.67E-02	6.49E-03	1.74E-02	3.70E-02	8.17E-03	1.97E-02
0.180	0.600	1.48E-01	2.54E-02	6.22E-02	6.49E-03	1.74E-02	2.93E-02	9.46E-03	2.24E-02
0.180	0.800	1.40E-01	2.95E-02	7.08E-02	6.49E-03	1.74E-02	1.93E-02	1.15E-02	2.67E-02
0.180	1.000	1.37E-01	3.27E-02	7.72E-02	6.49E-03	1.74E-02	1.30E-02	1.31E-02	2.99E-02
0.180	1.200	1.35E-01	3.50E-02	8.17E-02	6.49E-03	1.74E-02	8.92E-03	1.43E-02	3.22E-02
0.180	1.400	1.34E-01	3.67E-02	8.50E-02	6.49E-03	1.74E-02	6.17E-03	1.51E-02	3.38E-02
0.180	1.600	1.34E-01	3.79E-02	8.73E-02	6.49E-03	1.74E-02	4.30E-03	1.57E-02	3.50E-02
0.180	1.800	1.34E-01	3.88E-02	8.89E-02	6.49E-03	1.74E-02	3.03E-03	1.61E-02	3.57E-02
0.180	2.000	1.34E-01	3.94E-02	9.00E-02	6.49E-03	1.74E-02	2.14E-03	1.64E-02	3.63E-02
0.180	2.500	1.34E-01	4.02E-02	9.15E-02	6.49E-03	1.74E-02	9.58E-04	1.69E-02	3.71E-02
0.180	3.000	1.34E-01	4.05E-02	9.21E-02	6.49E-03	1.74E-02	4.99E-04	1.70E-02	3.74E-02
0.180	4.000	1.34E-01	4.08E-02	9.25E-02	6.49E-03	1.74E-02	2.04E-04	1.71E-02	3.76E-02
0.180	5.000	1.34E-01	4.08E-02	9.26E-02	6.49E-03	1.74E-02	1.13E-04	1.72E-02	3.76E-02
0.180	7.000	1.34E-01	4.09E-02	9.27E-02	6.49E-03	1.74E-02	5.01E-05	1.72E-02	3.77E-02
0.180	10.000	1.34E-01	4.09E-02	9.28E-02	6.49E-03	1.74E-02	2.29E-05	1.72E-02	3.77E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M3-M2-M1 *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.180	0.160	2.90E-01	3.19E-02	3.20E-02	1.74E-02	1.74E-02	1.12E-01	7.28E-03	7.33E-03
0.180	0.180	2.69E-01	3.35E-02	3.38E-02	1.74E-02	1.74E-02	9.99E-02	8.06E-03	8.20E-03
0.180	0.200	2.52E-01	3.51E-02	3.54E-02	1.74E-02	1.74E-02	9.00E-02	8.85E-03	9.03E-03
0.180	0.250	2.23E-01	3.91E-02	3.94E-02	1.74E-02	1.74E-02	7.15E-02	1.09E-02	1.10E-02
0.180	0.300	2.04E-01	4.27E-02	4.33E-02	1.74E-02	1.74E-02	5.86E-02	1.26E-02	1.30E-02
0.180	0.400	1.82E-01	4.93E-02	5.02E-02	1.74E-02	1.74E-02	4.11E-02	1.59E-02	1.64E-02
0.180	0.500	1.71E-01	5.49E-02	5.62E-02	1.74E-02	1.74E-02	2.99E-02	1.88E-02	1.94E-02
0.180	0.600	1.65E-01	5.97E-02	6.12E-02	1.74E-02	1.74E-02	2.22E-02	2.11E-02	2.19E-02
0.180	0.800	1.60E-01	6.66E-02	6.86E-02	1.74E-02	1.74E-02	1.25E-02	2.46E-02	2.56E-02
0.180	1.000	1.59E-01	7.11E-02	7.33E-02	1.74E-02	1.74E-02	7.14E-03	2.69E-02	2.80E-02
0.180	1.200	1.58E-01	7.36E-02	7.61E-02	1.74E-02	1.74E-02	4.15E-03	2.81E-02	2.94E-02
0.180	1.400	1.58E-01	7.52E-02	7.78E-02	1.74E-02	1.74E-02	2.43E-03	2.89E-02	3.02E-02
0.180	1.600	1.58E-01	7.61E-02	7.88E-02	1.74E-02	1.74E-02	1.47E-03	2.94E-02	3.07E-02
0.180	1.800	1.58E-01	7.66E-02	7.94E-02	1.74E-02	1.74E-02	9.31E-04	2.96E-02	3.10E-02
0.180	2.000	1.58E-01	7.69E-02	7.97E-02	1.74E-02	1.74E-02	6.33E-04	2.98E-02	3.11E-02
0.180	2.500	1.58E-01	7.71E-02	7.98E-02	1.74E-02	1.74E-02	3.14E-04	2.99E-02	3.12E-02
0.180	3.000	1.58E-01	7.73E-02	8.01E-02	1.74E-02	1.74E-02	1.85E-04	3.00E-02	3.14E-02
0.180	4.000	1.58E-01	7.73E-02	8.01E-02	1.74E-02	1.74E-02	9.16E-05	3.00E-02	3.14E-02
0.180	5.000	1.58E-01	7.74E-02	8.02E-02	1.74E-02	1.74E-02	5.42E-05	3.00E-02	3.14E-02
0.180	7.000	1.58E-01	7.74E-02	8.02E-02	1.74E-02	1.74E-02	2.54E-05	3.00E-02	3.14E-02
0.180	10.000	1.58E-01	7.75E-02	8.02E-02	1.74E-02	1.74E-02	1.17E-05	3.00E-02	3.14E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M4-M1-AA *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.144	0.133	2.85E-01	2.17E-02	5.97E-03	1.04E-02	2.68E-03	1.22E-01	5.62E-03	1.65E-03
0.144	0.153	2.58E-01	2.29E-02	6.31E-03	1.04E-02	2.68E-03	1.09E-01	6.25E-03	1.82E-03
0.144	0.173	2.38E-01	2.42E-02	6.65E-03	1.04E-02	2.68E-03	9.80E-02	6.87E-03	1.98E-03
0.144	0.200	2.17E-01	2.58E-02	7.10E-03	1.04E-02	2.68E-03	8.66E-02	7.69E-03	2.21E-03
0.144	0.250	1.89E-01	2.88E-02	7.93E-03	1.04E-02	2.68E-03	7.14E-02	9.19E-03	2.63E-03
0.144	0.300	1.71E-01	3.17E-02	8.75E-03	1.04E-02	2.68E-03	6.08E-02	1.06E-02	3.03E-03
0.144	0.400	1.48E-01	3.71E-02	1.03E-02	1.04E-02	2.68E-03	4.67E-02	1.33E-02	3.82E-03
0.144	0.500	1.35E-01	4.21E-02	1.18E-02	1.04E-02	2.68E-03	3.75E-02	1.58E-02	4.55E-03
0.144	0.600	1.26E-01	4.66E-02	1.31E-02	1.04E-02	2.68E-03	3.09E-02	1.81E-02	5.24E-03
0.144	0.800	1.17E-01	5.43E-02	1.56E-02	1.04E-02	2.68E-03	2.20E-02	2.19E-02	6.44E-03
0.144	1.000	1.13E-01	6.05E-02	1.75E-02	1.04E-02	2.68E-03	1.62E-02	2.50E-02	7.42E-03
0.144	1.200	1.10E-01	6.53E-02	1.91E-02	1.04E-02	2.68E-03	1.22E-02	2.74E-02	8.20E-03
0.144	1.400	1.09E-01	6.91E-02	2.03E-02	1.04E-02	2.68E-03	9.28E-03	2.93E-02	8.82E-03
0.144	1.600	1.08E-01	7.21E-02	2.13E-02	1.04E-02	2.68E-03	7.14E-03	3.08E-02	9.31E-03
0.144	1.800	1.08E-01	7.43E-02	2.20E-02	1.04E-02	2.68E-03	5.57E-03	3.19E-02	9.67E-03
0.144	2.000	1.08E-01	7.61E-02	2.26E-02	1.04E-02	2.68E-03	4.34E-03	3.28E-02	9.97E-03
0.144	2.500	1.07E-01	7.90E-02	2.36E-02	1.04E-02	2.68E-03	2.38E-03	3.43E-02	1.05E-02
0.144	3.000	1.07E-01	8.05E-02	2.41E-02	1.04E-02	2.68E-03	1.38E-03	3.50E-02	1.07E-02
